рік,місто,церкви,гр-кат.,лат.,вірм.,жид.,акат.,школа,lat,lon
1900,Кути,"св.Трійці",1702,1230,509,3500,14,6-кл,48.262023,25.173841
1900,КутиСтарі,"Покрови Присвятої Діви Марії, Рождества Христового",3932,60,5,132,0,2-кл,48.282076,25.161600
1900,Брустури,"Вознесення Христового",2260,1,56,0,0,1-кл,48.300325,24.877719
