рік,місто,церкви,гр-кат.,лат.,вірм.,жид.,акат.,школа,lat,lon
1914,Кути,св.Трійці,1746,1456,390,3182,10,6-кл,48.262023,25.173841
1914,КутиСтарі,"ПокровиПрисвятої Діви Марії Преображення Христового",5096,52,15,152,0,4-кл,48.282076,25.161600
1914,Брустури,"Вознесення Христового",2562,4,74,0,0,2-кл,48.300325,24.877719
