рік,місто,церкви,гр-кат.,лат.,вірм.,жид.,акат.,школа,lat,lon
1938,Кути,св.Трійці,1860,1244,167,2157,0,7-кл,48.262023,25.173841
1938,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5340,50,15,152,0,7-кл,48.282076,25.161600
1938,Брустури,"Вознесення Христового",1264,8,68,0,0,2-кл,48.300325,24.877719
